node_names,edges,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
xx_0,0.00148781,10.116559,17.36063,14.764374,21.753988,18.788305,27.178156,22.65707,32.751087,26.543402,38.335495,30.19314,44.02272,33.12967,49.99557,35.445,56.300083,37.684032,62.636997,40.670326,68.4608,45.22626,73.20903,51.078262,76.29923,57.683453,77.452736,64.49704,76.956635,70.94907,75.32195,76.99327,72.638275,82.58544,68.93718,87.44627,64.34285,91.34829,58.964195,94.189095,53.024334,96.18201,46.675137,97.19503,39.9738,97.05366,33.218796,95.56707,26.724234,92.63492,20.834007,88.55896,15.5346985,83.70049,10.862107,78.20789,6.8916345,72.5078,3.4854462,67.242966,0.2275602,74.62483,-0.98346865,82.8401,-2.1357477,90.35378,-4.864302,97.03276,-9.429533,102.76171,-15.222483,107.33401,-21.972296,110.69579,-29.347363,112.85145,-37.27196,113.99629,-45.58385,114.42478,-54.035175,114.3295,-62.49333,113.18536,-70.724236,110.11065,-77.99145,104.32404,-82.98775,96.5333,-84.29744,88.3791,-82.86678,80.745544,-79.87796,73.57969,-75.92141,66.71314,-71.36937,60.13957,-66.51178,53.633514,-61.36959,47.286526,-55.981815,41.089844,-50.363834,35.01683,-44.54979,29.054264,-38.796047,23.357742,-32.973923,17.571457,-27.123756,11.90542,-21.109003,6.570274,-15.190756,-6.7016907,-14.978551,-11.998535,-20.904268,-17.653606,-26.921267,-23.44698,-32.766342,-29.281168,-38.5941,-35.24218,-44.300304,-41.35112,-50.0486,-47.574093,-55.643612,-53.98481,-61.027973,-60.503155,-66.13459,-67.1186,-71.028496,-74.04544,-75.59571,-81.2747,-79.536156,-88.87794,-82.3996,-96.89119,-83.78048,-104.60804,-82.325806,-110.203415,-77.136505,-113.07918,-69.64883,-113.94468,-61.491676,-113.94501,-53.023552,-113.38032,-44.676605,-112.22384,-36.440964,-110.13687,-28.584108,-106.90113,-21.38623,-102.45058,-14.873665,-96.79464,-9.156138,-90.179855,-4.8109627,-82.636734,-2.1503098,-74.31254,-1.0277085,-66.66341,0.095300734,-72.11673,3.403672,-77.836044,6.8723993,-83.41862,10.832947,-88.33144,15.490278,-92.5853,20.795511,-95.583305,26.673727,-97.13101,33.114223,-97.350784,39.88433,-96.3263,46.590057,-94.47328,52.971924,-91.68327,58.931942,-87.78248,64.27082,-82.85461,68.8945,-77.2132,72.57897,-71.13667,75.25268,-64.62983,76.969604,-57.75547,77.34751,-51.12246,76.08405,-45.317215,72.968895,-40.866436,68.09337,-37.83932,62.137985,-35.58873,55.74203,-33.27011,49.361515,-30.116901,43.414074,-26.33093,37.723343,-22.462128,32.04557,-18.556894,26.417007,-14.487775,20.899317,-9.734992,17.036644
xx_1,0.00483568,9.68062,17.282503,14.664903,21.3579,18.997581,26.560444,23.133081,31.873947,27.180552,37.33051,30.885752,42.87348,33.88967,48.625286,36.225983,54.788555,38.72382,60.735954,41.442757,66.42472,45.948795,71.03259,51.514275,74.396385,57.78491,75.89975,64.24991,75.642525,70.43422,74.679146,76.36148,72.764,81.96003,69.70271,86.89675,65.73716,90.7698,60.69589,93.68429,55.195484,95.81917,49.12951,96.912125,42.62248,97.112206,35.975094,96.013954,29.445045,93.51235,23.40569,89.89775,17.913456,85.41435,12.928151,80.26464,8.632232,75.068504,4.9419646,70.24657,1.2886924,77.13086,-0.6296655,84.883736,-2.6191182,91.696335,-6.2951446,97.6751,-11.533618,102.75086,-17.678713,106.68542,-24.636435,109.59514,-31.927402,111.640495,-39.786274,112.82815,-47.826927,113.340935,-55.92815,113.20826,-64.002556,111.81071,-71.84993,108.448166,-78.43382,102.36503,-82.66235,94.79644,-83.35967,86.95667,-81.746666,79.61776,-78.525604,72.67657,-74.405655,66.12226,-69.84535,59.982536,-65.23511,53.734818,-60.30258,47.562714,-55.279613,41.461845,-49.849964,35.448036,-44.333553,29.452263,-38.485577,23.826263,-32.82031,18.032734,-26.909727,12.258819,-21.002256,6.473274,-15.647831,-6.874235,-15.744468,-12.790364,-20.858435,-18.526766,-26.895826,-24.243788,-32.708805,-29.949404,-38.442192,-35.883827,-44.25327,-41.938313,-49.894196,-48.04224,-55.239243,-54.201492,-60.4235,-60.41707,-65.27779,-66.71437,-70.01666,-73.530754,-74.54551,-80.567726,-78.4956,-87.75589,-81.19812,-95.25496,-82.640144,-102.66886,-81.673225,-108.43605,-77.08819,-111.597374,-70.07246,-112.495964,-62.5329,-112.58649,-54.411068,-111.86258,-46.515724,-110.592636,-38.61001,-108.63714,-31.038485,-105.883644,-24.041172,-102.277435,-17.584864,-97.434586,-11.425269,-91.77898,-6.4444456,-85.00772,-2.7000997,-77.2155,-0.67492294,-70.00563,1.152401,-74.593025,4.7744627,-79.87892,8.586124,-84.93802,12.757066,-89.415825,17.602356,-93.193665,23.159685,-95.90879,28.968819,-96.918945,35.56925,-96.915596,42.032642,-95.89806,48.584343,-94.00433,54.552246,-91.28714,60.11259,-87.33907,65.040085,-82.40747,69.12645,-76.79289,72.15643,-70.96116,74.299576,-64.58495,75.60772,-58.036037,75.71753,-51.827744,74.14963,-46.268124,71.14309,-41.710247,66.580795,-38.391636,60.94103,-35.815712,54.91917,-33.519154,48.64013,-30.322933,42.940033,-26.489471,37.385384,-22.579243,31.823658,-18.531153,26.383312,-14.253381,21.118172,-9.308321,17.379084
Parnassius_apollo,0.002149,10.297702,17.39733,14.813529,21.909008,18.681776,27.445642,22.458742,33.108185,26.266064,38.756527,29.889708,44.502552,32.830093,50.545235,35.078377,56.93928,37.24821,63.40051,40.302845,69.33751,44.938873,74.14418,50.899048,77.12562,57.66967,78.1213,64.61158,77.50244,71.16281,75.59538,77.27474,72.588684,82.83857,68.62693,87.6526,63.801647,91.58391,58.26055,94.412544,52.17077,96.34102,45.67307,97.32676,38.86463,97.08373,32.05771,95.39532,25.561394,92.28477,19.709969,88.01325,14.52683,82.91272,9.993324,77.29984,6.1765623,71.34078,2.9216833,65.89966,-0.25920558,73.52408,-1.1911385,81.92129,-1.9899248,89.7753,-4.280873,96.75987,-8.503119,102.75141,-14.16786,107.62974,-20.821566,111.169464,-28.252144,113.38334,-36.230804,114.514244,-44.66098,114.874016,-53.2786,114.803055,-61.88394,113.76672,-70.26649,110.82508,-77.81693,105.1553,-83.14943,97.260086,-84.71243,88.96512,-83.354515,81.221756,-80.45461,73.95762,-76.56228,66.95263,-71.98987,60.189297,-67.04078,53.58182,-61.801746,47.16826,-56.268646,40.92237,-50.576344,34.83685,-44.637794,28.881138,-38.925083,23.161715,-33.045963,17.3694,-27.206375,11.75062,-21.155071,6.619771,-14.995616,-6.639002,-14.652189,-11.646686,-20.915724,-17.27077,-26.925383,-23.110796,-32.792564,-28.993979,-38.66392,-34.974663,-44.310555,-41.096622,-50.121754,-47.38267,-55.804665,-53.892956,-61.274673,-60.531334,-66.49636,-67.28898,-71.447075,-74.26143,-76.03477,-81.55678,-79.974686,-89.32133,-82.901184,-97.556114,-84.2807,-105.43361,-82.60893,-110.96255,-77.160645,-113.708725,-69.47712,-114.55043,-61.07783,-114.50559,-52.472004,-114.04339,-43.940266,-112.93007,-35.559082,-110.77212,-27.57311,-107.35263,-20.258926,-102.51142,-13.73448,-96.517395,-8.166242,-89.52431,-4.1485453,-81.57804,-1.9899611,-73.10503,-1.2400284,-65.18513,-0.36164492,-70.93905,2.8599203,-76.95604,6.176087,-82.68606,10.05154,-87.91781,14.594143,-92.33094,19.793064,-95.46937,25.673664,-97.25593,32.112907,-97.54545,38.96697,-96.50037,45.808727,-94.6758,52.341972,-91.85105,58.466927,-87.9306,63.965496,-83.06055,68.801186,-77.40277,72.75108,-71.22353,75.65908,-64.65304,77.531624,-57.664417,78.04932,-50.832706,76.905266,-44.906162,73.74534,-40.479195,68.72369,-37.591427,62.615746,-35.473583,56.092804,-33.173832,49.649147,-30.02449,43.622543,-26.26464,37.858574,-22.41754,32.138744,-18.557333,26.434992,-14.598679,20.799637,-9.913681,16.890516
xx_2,0.00787101,8.571248,16.655893,13.655896,20.762653,18.122284,25.74485,22.714138,31.110485,26.894554,36.48762,30.933615,42.111343,34.30767,48.08014,36.848755,54.22143,39.716496,60.087646,43.357353,65.27425,48.02044,69.71517,53.568504,73.07292,59.732323,74.40825,66.16379,74.07452,72.45278,73.022514,78.50914,71.470634,84.19385,69.03011,88.999115,65.43744,92.42167,60.74395,94.651886,55.395172,96.40751,49.763226,97.16469,43.59451,97.06708,37.414444,96.06001,31.079542,94.08752,24.890305,90.96749,19.205215,86.85538,13.675118,81.83613,9.240582,77.14612,5.3581443,72.4895,1.6626765,78.92512,-0.59946716,85.74717,-3.2569716,91.9568,-7.6602845,97.41584,-13.202991,101.97579,-19.55145,105.38066,-26.462446,108.072845,-33.70355,109.87794,-41.45586,111.30609,-49.18331,111.953316,-57.05064,111.89864,-64.930115,110.31786,-72.45707,106.1109,-78.20231,99.40689,-81.2216,91.89739,-81.1854,84.331924,-79.43526,77.15473,-76.43467,70.31525,-72.572525,63.635303,-68.21251,57.25711,-63.602444,50.982075,-58.66608,44.717995,-53.60341,38.81513,-48.18671,33.19622,-43.0551,27.405674,-37.608246,21.891296,-32.14876,16.356628,-26.44614,11.060914,-20.835752,5.886967,-15.067083,-5.656716,-14.935777,-11.032793,-20.442497,-16.339008,-26.136587,-21.822258,-31.793354,-27.46297,-37.444054,-33.470776,-42.97308,-39.311234,-48.33767,-45.27022,-53.53689,-51.46136,-58.590195,-57.723503,-63.465794,-64.23811,-68.169365,-70.8979,-72.50745,-77.79166,-76.3754,-84.985985,-79.35046,-92.44961,-81.28238,-100.17782,-81.233406,-106.85692,-78.3676,-110.91465,-72.321846,-112.43751,-64.86552,-112.33646,-56.825233,-111.47024,-48.904377,-110.03856,-41.161503,-108.34846,-33.402412,-105.62614,-26.090666,-102.26918,-19.134443,-97.677284,-12.688446,-92.25764,-7.0781026,-85.94758,-2.7164745,-78.84312,-0.14836444,-71.8627,1.9690785,-76.264626,5.4341507,-81.125885,9.444642,-85.8847,13.947784,-89.84544,19.226707,-93.26922,24.946695,-95.61372,30.865763,-96.92,37.03888,-97.297295,43.24517,-96.44926,49.408775,-95.23488,55.215958,-93.07248,60.432323,-89.51312,65.17074,-84.35368,68.72587,-78.62655,70.85739,-72.50639,72.71931,-66.07654,73.909584,-59.633835,74.28481,-53.233715,72.95084,-47.51546,69.88643,-43.068485,65.07563,-39.36712,59.74383,-36.476208,53.964153,-33.84624,47.85305,-30.426558,42.067577,-26.220955,36.497215,-22.12299,30.977291,-17.655317,25.483028,-13.2171335,20.247538,-7.9299216,17.067541
Parnassius_smintheus,0.004079,10.226897,17.582138,15.211505,21.684273,19.428299,26.962992,23.381306,32.303543,27.313425,37.760853,30.873577,43.274166,33.6634,48.93524,35.915443,55.042747,38.1483,61.069237,40.426826,66.96636,44.819992,71.71116,50.471092,75.12024,56.765026,76.6935,63.253773,76.49849,69.41625,75.544426,75.3059,73.45044,80.89579,70.05636,85.87945,65.847786,90.0026,60.671764,93.25023,55.05538,95.54412,48.84039,96.782394,42.145535,97.17224,35.271046,95.98998,28.632343,93.23108,22.623924,89.35305,17.269726,84.66693,12.519267,79.46508,8.362251,74.00123,4.709508,69.05014,1.0841565,76.2234,-0.66891485,84.433624,-2.2901158,91.55709,-5.5827017,97.79378,-10.6597,103.12527,-16.710241,107.37165,-23.690048,110.36866,-31.021282,112.5443,-38.950726,113.61723,-47.175743,114.03734,-55.377754,113.87383,-63.544983,112.59919,-71.53395,109.74316,-78.551254,103.97473,-83.44015,96.275085,-84.53247,88.23945,-82.95382,80.81857,-79.59834,73.86365,-75.352455,67.42555,-70.71624,61.40233,-66.092125,55.16236,-61.15901,49.000305,-56.14124,42.7381,-50.64237,36.52225,-44.94249,30.459085,-38.91113,24.774107,-33.13751,18.839907,-27.127241,12.833395,-21.043776,6.7875524,-15.912057,-7.483828,-16.126394,-13.633671,-21.01256,-19.581102,-27.256905,-25.442053,-33.1509,-31.208038,-38.948277,-37.080627,-44.898132,-43.228725,-50.639038,-49.43127,-56.11237,-55.601147,-61.37056,-61.819626,-66.22413,-67.9786,-70.98699,-74.83351,-75.580605,-81.97946,-79.61789,-89.19112,-82.20236,-96.789,-83.394966,-104.05488,-81.96504,-109.293655,-76.50716,-111.93511,-68.96164,-112.54036,-61.36269,-112.71245,-53.18554,-112.09224,-45.297577,-110.87487,-37.298416,-108.79996,-29.761927,-106.01311,-22.927536,-102.27216,-16.719477,-97.29091,-10.747936,-91.538055,-6.0885143,-84.53079,-2.70976,-76.407814,-0.9395885,-69.02761,0.7276928,-73.7218,4.4172664,-79.251366,8.176637,-84.45317,12.106335,-89.180016,16.787598,-93.17911,22.223673,-96.05828,28.02991,-96.95696,34.836704,-96.728714,41.478397,-95.62326,48.12933,-93.47952,54.236656,-90.38349,59.94074,-86.29123,64.96005,-81.43775,69.354,-75.90095,72.829704,-70.16972,75.1571,-63.80486,76.48219,-57.185448,76.49547,-51.079597,74.78942,-45.584587,71.831314,-41.00293,67.33809,-37.853035,61.550114,-35.483784,55.382423,-33.337715,49.0524,-30.293947,43.3811,-26.597992,37.86287,-22.862106,32.26445,-18.945152,26.8679,-14.81066,21.547293,-9.987393,17.528658
xx_3,0.013507403,8.595883,13.737789,13.682377,18.351625,18.180399,24.500511,22.372595,31.223864,26.31009,37.930252,29.917347,44.852566,33.364124,52.03072,37.18318,58.406696,42.30906,63.954784,47.70671,66.9115,52.784,71.5719,58.307724,75.428665,64.63831,76.75082,69.668434,74.97665,74.65763,73.98308,78.820435,74.21329,82.76418,73.49468,85.10362,71.17773,84.33505,67.64465,82.713875,62.85428,82.937294,56.790474,83.40412,49.81014,84.50234,43.05956,84.792274,35.548473,84.965706,28.490032,83.67995,21.259827,81.00504,14.260761,76.72242,8.107397,71.82174,3.1396751,66.86552,-1.2352595,73.02581,-3.023558,80.0026,-5.0413947,86.31581,-8.638474,91.21099,-14.053525,94.783394,-20.515793,97.794525,-27.356363,100.07695,-34.561607,102.2255,-41.996246,104.13797,-49.53528,105.77507,-57.0334,106.768364,-64.41662,106.69542,-71.39839,104.78525,-77.452095,100.3008,-81.74302,93.917625,-83.20269,86.51895,-82.63421,79.114136,-80.38488,72.07554,-77.073105,65.31268,-72.97852,58.971554,-68.57231,52.73504,-63.81522,46.606133,-58.953835,40.702694,-53.717834,35.05273,-48.47788,29.379921,-42.934933,23.890047,-37.35319,18.57514,-31.618774,13.4682255,-25.783537,8.346702,-20.462812,-7.7840533,-20.309961,-12.965537,-25.33577,-18.130587,-31.167757,-23.564892,-36.79663,-29.142527,-42.35213,-34.791065,-47.84754,-40.57464,-53.106228,-46.452915,-58.26544,-52.658607,-63.270054,-58.81664,-67.837776,-65.12997,-72.25953,-71.84722,-76.32404,-78.90923,-79.65746,-86.26111,-81.91368,-93.47095,-82.65243,-99.885216,-81.38811,-104.56106,-77.5807,-106.398834,-71.54649,-106.61483,-64.810135,-105.66516,-57.405987,-104.14737,-49.97602,-102.2102,-42.496635,-100.13432,-35.098217,-97.85082,-27.748192,-95.179886,-20.84078,-91.89104,-14.364936,-87.29673,-8.7840395,-81.5448,-4.539263,-74.62058,-2.321446,-68.211075,-0.4426127,-72.9786,4.221949,-77.35074,9.51525,-81.17221,15.797488,-83.24624,22.954258,-84.73485,29.89488,-84.13215,36.716846,-83.65231,43.776,-83.3457,51.051258,-81.82004,57.30369,-83.00721,64.65127,-84.60137,67.91744,-85.74373,71.37622,-82.25289,73.99906,-79.50095,73.04126,-74.03931,72.98412,-69.784225,74.852135,-64.43512,75.760056,-58.453976,75.536385,-52.453083,71.3657,-48.15889,66.4518,-42.560154,62.126995,-37.36904,57.43592,-33.015892,51.518734,-29.623793,44.955837,-25.709269,38.192017,-22.020508,31.347769,-18.117207,24.560637,-13.876695,18.533216,-8.768242,14.243176
xx_4,0.003979712,8.555351,17.47813,13.661416,21.485022,18.153887,26.126047,22.79959,31.066086,27.058565,35.99,31.210482,41.181408,34.55489,46.86887,36.744244,52.93636,38.96153,59.052765,42.042,64.72141,46.58656,69.24804,52.222942,72.412186,58.52901,73.853584,65.31029,73.9252,71.96293,72.941864,78.27162,71.0271,84.202354,68.302826,89.64999,64.70909,94.26956,60.052784,97.67866,54.534595,100.1499,48.53102,101.20264,41.87243,100.974495,35.364742,99.52846,29.046824,96.85137,23.141838,93.08249,18.03233,88.59242,13.294264,83.28377,9.493359,78.57661,6.00976,73.841675,2.4452746,80.43934,0.035277378,87.32414,-2.7827492,93.53341,-7.3171277,99.09079,-12.873457,103.959625,-19.137016,107.50096,-26.12912,110.32764,-33.450954,112.05709,-41.350258,113.33985,-49.20265,113.70491,-57.188442,113.30168,-65.21192,111.282364,-72.891556,106.45924,-78.5067,99.1932,-81.10309,91.4221,-80.64486,83.77972,-78.57977,76.633385,-75.35891,69.85388,-71.34185,63.199318,-66.92004,56.79998,-62.261776,50.49108,-57.247463,44.204823,-52.129066,38.29976,-46.666428,32.642635,-41.50553,26.849657,-36.121376,21.31511,-30.682407,15.722526,-24.980515,10.421958,-19.412975,5.281966,-13.261575,-5.164269,-13.145262,-10.535994,-19.047333,-15.83124,-24.709602,-21.33051,-30.403763,-27.01608,-36.113503,-33.089325,-41.610558,-38.974678,-47.033405,-44.943962,-52.210632,-51.124046,-57.295364,-57.44563,-62.31189,-64.030754,-67.06586,-70.65981,-71.46186,-77.50664,-75.47468,-84.67502,-78.659775,-92.20224,-80.91646,-100.22424,-81.23065,-107.43474,-78.69835,-112.10484,-72.70399,-114.027916,-65.02211,-114.20538,-56.781788,-113.53212,-48.710327,-112.25562,-40.849655,-110.66685,-32.920483,-107.783264,-25.522669,-104.179054,-18.497967,-99.20151,-12.097825,-93.57584,-6.5240765,-87.159294,-2.1798973,-79.93878,0.39126852,-72.75374,2.6289222,-77.22225,5.790489,-82.162994,9.272427,-87.27003,13.09956,-91.60884,17.531742,-95.724236,22.679153,-99.07918,28.33483,-100.93979,34.52296,-101.40029,41.216557,-100.476105,47.952885,-98.432335,54.169403,-94.79163,59.73507,-90.10873,64.40483,-84.408,67.92201,-78.328316,70.63935,-72.07414,72.84732,-65.36952,73.7776,-58.42755,73.86787,-51.807632,72.38316,-46.028984,69.43584,-41.563313,64.660835,-38.347046,59.01323,-36.220524,52.914986,-34.055607,46.766163,-30.658804,41.160324,-26.344536,35.91053,-22.12823,30.86295,-17.549213,25.727509,-13.030151,20.78101,-7.6954927,17.871922
xx_5,0.006194869,7.8913894,16.215834,11.547639,20.705212,14.798465,26.828117,18.322924,33.830414,22.1013,40.741074,26.220491,47.21811,30.521893,53.573105,35.526455,58.91184,40.718327,63.834396,45.850273,68.28466,52.37569,71.21536,59.112694,73.17437,64.807495,74.04585,69.225685,74.196335,72.60221,74.94033,75.86082,75.314095,78.54209,73.739746,79.15175,70.63009,78.46541,67.30194,78.32984,63.38892,78.21637,57.596714,78.184105,50.494,78.75673,42.93209,78.70249,35.84001,78.39686,29.163462,77.469505,22.46616,75.664795,15.55041,72.42162,9.596047,69.20805,4.275807,65.93757,0.21638034,72.322205,-2.0536163,78.429306,-5.4511905,83.84615,-10.184096,87.81902,-16.191088,91.0789,-22.918602,93.75833,-29.97293,96.26488,-37.32238,98.85705,-44.772285,101.42021,-52.258,103.83734,-59.484447,105.73041,-66.27158,106.17745,-71.85844,104.9807,-76.64888,101.05938,-79.88485,95.51347,-81.52162,88.06445,-81.72382,80.26741,-80.18313,72.710236,-77.427155,65.581894,-73.703354,58.960815,-69.529785,52.491062,-64.96541,46.10317,-59.96966,39.976715,-54.733875,34.154667,-49.384293,28.42389,-43.6117,23.045467,-37.638832,17.926182,-31.589336,13.177699,-25.328062,8.603475,-19.934193,-8.355496,-19.84252,-13.081774,-24.796507,-17.851545,-31.232346,-22.9841,-37.384773,-28.394873,-43.419952,-34.130287,-49.274063,-39.994076,-54.66774,-46.132088,-59.94619,-52.524635,-64.964745,-59.04219,-69.57558,-65.67613,-73.77862,-72.84986,-77.51418,-80.535,-80.2982,-88.48351,-81.8185,-95.84806,-81.62642,-101.32099,-79.94526,-105.07582,-76.60386,-106.10905,-71.71643,-105.63426,-66.10117,-103.68866,-59.312653,-101.24094,-52.00066,-98.754524,-44.503143,-96.23958,-37.058,-93.71784,-29.641861,-91.01534,-22.57281,-87.81486,-15.8821945,-83.759705,-9.827985,-78.196556,-5.175907,-71.91502,-1.9857345,-65.41099,0.20203906,-69.03261,4.3689017,-72.36457,9.73463,-75.72532,15.839688,-77.53095,22.845808,-78.56982,29.594301,-79.003365,36.42665,-79.01107,43.672745,-78.643105,51.321365,-78.27117,58.43421,-78.33382,64.31523,-78.67172,68.10827,-79.37956,71.35208,-78.81431,74.44217,-76.1709,75.68275,-72.92999,74.95619,-69.36763,74.34103,-64.7655,74.42495,-59.156563,73.58898,-52.434666,71.517914,-45.827072,68.446014,-40.543045,63.85133,-35.344418,58.78624,-30.391197,53.23613,-25.906214,46.95379,-21.828112,40.257565,-18.057486,33.20496,-14.495117,26.067266,-11.374564,19.83836,-7.631625,15.417414
xx_6,0.005114043,8.910942,11.751285,15.199821,16.294098,20.6512,22.372288,25.532232,28.941063,29.826702,35.837082,32.95296,43.243774,35.780277,51.016045,38.672516,58.39433,43.75303,63.90168,49.3404,66.10111,53.191048,71.547905,57.566235,77.222084,64.687004,78.97014,70.25683,75.41028,75.40876,72.599174,80.67678,73.09374,86.34106,73.997635,89.39078,72.46546,88.49717,68.53607,85.69901,62.605396,86.29617,56.298866,87.89314,49.69286,89.20733,43.344776,89.739586,35.658016,90.22716,27.86456,88.57926,20.06349,85.09949,12.684206,79.84947,6.552367,73.37572,1.9222428,67.24307,-2.4458942,73.558975,-3.849106,81.23398,-4.686593,88.27312,-7.1668406,93.794624,-11.999388,97.87443,-18.34884,101.15626,-25.130056,103.297195,-32.35241,105.07994,-39.911877,106.44564,-47.567776,107.35843,-55.315025,107.634605,-63.18295,107.07782,-71.03122,104.769844,-78.146965,99.73706,-83.180534,92.70987,-84.54301,85.17877,-83.34514,78.10822,-80.56951,71.50196,-76.78282,65.1107,-72.39,58.993076,-67.78386,52.936516,-62.87329,47.03777,-58.098877,41.312492,-52.888115,35.780872,-47.70102,30.182167,-42.37545,24.56837,-37.095695,19.103792,-31.639238,13.701034,-26.136309,8.1247635,-20.891403,-7.3115635,-20.689812,-12.880392,-25.76413,-18.351706,-31.11048,-24.016447,-36.277225,-29.75366,-41.439243,-35.31996,-46.629456,-41.031246,-51.78912,-46.736782,-56.872536,-52.74589,-61.834892,-58.64751,-66.404175,-64.68133,-70.994156,-70.96221,-75.34983,-77.47835,-79.131226,-84.38603,-81.98734,-91.6551,-83.43439,-98.87847,-82.52681,-104.34695,-78.34772,-106.66911,-71.43097,-107.4112,-63.91317,-107.33464,-56.10063,-106.60355,-48.53804,-105.159615,-41.010223,-103.405396,-33.560093,-101.34041,-26.208643,-98.75174,-19.28546,-95.18478,-12.925275,-90.25082,-7.693103,-84.07207,-3.9434862,-76.657936,-2.5971856,-70.03755,-1.1464372,-75.586,3.8172448,-81.12048,9.114812,-85.53305,15.388465,-87.86827,22.901155,-89.89933,30.263489,-88.51958,37.22084,-87.52228,44.183975,-87.31599,51.13762,-84.300316,56.779972,-85.213776,63.970177,-88.47194,68.45475,-90.26988,72.70638,-85.316414,73.33023,-81.09053,70.667946,-74.636635,70.803986,-70.69138,74.822365,-64.64627,77.19981,-57.600304,76.709915,-52.75112,71.296486,-50.102333,65.014786,-44.483803,60.733387,-39.074883,56.51666,-35.363335,50.26407,-32.679478,43.471577,-29.024786,36.64734,-25.205723,29.664236,-20.843376,23.025276,-15.689217,17.278322,-9.550113,13.282055
Parnassius_glacialis,0.005117,7.8823347,17.904993,12.920556,22.38016,17.445217,27.509533,22.036842,32.860363,26.192898,38.090996,30.225336,43.61721,33.264145,49.772453,35.15829,56.290283,37.656567,62.70297,41.429768,68.43881,46.710472,72.69608,53.027687,75.1961,59.704803,75.867035,66.67393,75.535965,73.64645,74.48527,80.25226,72.44761,86.33118,69.54727,91.87407,65.661224,96.378075,60.46785,99.4221,54.378033,101.445816,47.868942,101.79723,40.65082,100.44727,33.80004,97.555214,27.511917,93.81386,21.990234,89.202614,17.290888,83.504654,12.943631,77.49854,9.588569,71.72362,5.959438,66.8826,2.0276513,73.951836,-0.16076757,81.57563,-2.4877663,88.30142,-6.7202253,94.65504,-12.081508,100.1786,-18.037403,104.45974,-24.941267,107.78806,-32.10012,110.082924,-39.90828,112.24285,-47.624786,113.21465,-55.697636,113.62767,-64.08102,112.69732,-72.39841,108.66158,-79.151726,101.47541,-82.96724,93.446846,-83.0474,85.36558,-81.368904,77.898605,-78.318855,70.91597,-74.17684,64.04227,-69.70276,57.548985,-64.90652,51.024086,-59.750233,44.552895,-54.477406,38.628975,-48.794224,32.91127,-43.63928,26.921362,-37.98413,20.944613,-32.54211,15.106126,-26.857046,9.481568,-21.256882,3.843571,-15.0825615,-4.286102,-14.895686,-10.183565,-20.830711,-15.672167,-26.461367,-21.314867,-32.092968,-27.339209,-37.86944,-33.59677,-43.55951,-39.6626,-49.0917,-45.621765,-54.300507,-51.758125,-59.447857,-58.18117,-64.6743,-65.017075,-69.67959,-71.75636,-74.1587,-78.82801,-78.29627,-86.26483,-81.342125,-94.07925,-83.33182,-102.47515,-83.08363,-109.56755,-79.62026,-113.56389,-72.67647,-114.56034,-64.48907,-113.931435,-55.96987,-112.67,-47.83446,-110.61197,-40.056267,-108.7268,-32.02686,-105.415794,-24.665874,-101.12291,-17.699852,-95.62077,-11.4318,-89.260445,-5.93913,-82.272354,-1.6612831,-74.33521,0.48327354,-66.27903,2.2565958,-70.44521,5.5132036,-76.25253,9.208648,-81.84084,12.773702,-87.10239,16.84498,-92.27655,21.805782,-96.930725,27.06369,-100.22157,32.937645,-101.623314,39.89356,-101.47756,47.205788,-100.21877,53.913387,-96.907074,60.096737,-92.15031,65.26103,-86.25786,68.88492,-79.9278,71.79055,-73.39777,74.27532,-66.41057,75.19396,-59.161995,75.47947,-52.044785,74.68039,-45.688553,72.33676,-40.55482,67.785805,-36.60418,62.09541,-34.291008,55.77688,-32.46094,49.255657,-29.229435,43.23342,-24.884838,37.61239,-20.721436,32.25802,-16.291874,26.500109,-11.785497,21.180908,-6.5141106,18.370352
